1710953404:826231,B003,25.2857,23.6099,25.4818
1710953404:850401,B000,1.0800,11.0000,11.0000,0.0000
1710953404:850968,B000,1.0750,11.0000,11.0000,0.0000
1710953404:852145,B000,1.0750,11.0000,11.0000,0.0000
1710953404:852449,B000,1.0750,11.0000,11.0000,0.0000
1710953404:853505,B000,1.0750,11.0000,11.0000,0.0000
1710953404:853691,B000,1.0750,11.0000,11.0000,0.0000
1710953404:854390,B000,1.0750,11.0000,11.0000,0.0000
1710953404:905999,B000,1.0750,11.0000,11.0000,0.0000
1710953404:923245,B000,1.0800,11.0000,11.0000,0.0000
1710953405:53039,B000,1.0750,11.0000,11.0000,0.0000
1710953405:83076,B000,1.0750,11.0000,11.0000,0.0000
1710953405:129701,B003,25.2857,23.5887,25.4545
1710953405:243046,B000,1.0800,11.0000,11.0000,0.0000
1710953405:313019,B000,1.0750,11.0000,11.0000,0.0000
1710953405:473048,B000,1.0750,11.0000,11.0000,0.0000
1710953405:503037,B000,1.0750,11.0000,11.0000,0.0000
1710953405:633042,B000,1.0750,11.0000,11.0000,0.0000
1710953405:663044,B000,1.0800,11.0000,11.0000,0.0000
1710953405:893059,B000,1.0750,11.0000,11.0000,0.0000
1710953405:923059,B000,1.0750,11.0000,11.0000,0.0000
1710953406:53067,B000,1.0750,11.0000,11.0000,0.0000
1710953406:83069,B000,1.0750,11.0000,11.0000,0.0000
1710953406:129723,B003,25.2571,23.5745,25.4636
1710953406:243111,B000,1.0750,11.0000,11.0000,0.0000
1710953406:313087,B000,1.0750,11.0000,11.0000,0.0000
1710953406:473107,B000,1.0800,11.0000,11.0000,0.0000
1710953406:503097,B000,1.0750,11.0000,11.0000,0.0000
1710953406:633116,B000,1.0800,11.0000,11.0000,0.0000
1710953406:663115,B000,1.0800,11.0000,11.0000,0.0000
1710953406:893387,B000,1.0750,11.0000,11.0000,0.0000
1710953406:923391,B000,1.0800,11.0000,11.0000,0.0000
1710953407:53397,B000,1.0750,11.0000,11.0000,0.0000
1710953407:83396,B000,1.0750,11.0000,11.0000,0.0000
1710953407:130028,B003,25.2857,23.5887,25.4818
1710953407:243625,B000,1.0750,11.0000,11.0000,0.0000
1710953407:313439,B000,1.0750,11.0000,11.0000,0.0000
1710953407:473448,B000,1.0750,11.0000,11.0000,0.0000
1710953407:503430,B000,1.0750,11.0000,11.0000,0.0000
1710953407:633440,B000,1.0750,11.0000,11.0000,0.0000
1710953407:663444,B000,1.0800,11.0000,11.0000,0.0000
1710953407:893457,B000,1.0750,11.0000,11.0000,0.0000
1710953407:923463,B000,1.0800,11.0000,11.0000,0.0000
1710953408:53470,B000,1.0750,11.0000,11.0000,0.0000
1710953408:83469,B000,1.0750,11.0000,11.0000,0.0000
1710953408:130102,B003,25.2571,23.5745,25.4364
1710953408:251468,B000,1.0750,11.0000,11.0000,0.0000
1710953408:313514,B000,1.0750,11.0000,11.0000,0.0000
1710953408:473516,B000,1.0800,11.0000,11.0000,0.0000
1710953408:503504,B000,1.0750,11.0000,11.0000,0.0000
1710953408:633516,B000,1.0800,11.0000,11.0000,0.0000
1710953408:663511,B000,1.0750,11.0000,11.0000,0.0000
1710953408:893525,B000,1.0750,11.0000,11.0000,0.0000
1710953408:924343,B000,1.0800,11.0000,11.0000,0.0000
1710953409:53539,B000,1.0800,11.0000,11.0000,0.0000
1710953409:83540,B000,1.0800,11.0000,11.0000,0.0000
1710953409:130172,B003,25.2857,23.6099,25.4818
1710953409:243554,B000,1.0750,11.0000,11.0000,0.0000
1710953409:313437,B000,1.0750,11.0000,11.0000,0.0000
1710953409:473474,B000,1.0750,11.0000,11.0000,0.0000
1710953409:503494,B000,1.0750,11.0000,11.0000,0.0000
1710953409:633488,B000,1.0800,11.0000,11.0000,0.0000
1710953409:663484,B000,1.0750,11.0000,11.0000,0.0000
1710953409:893501,B000,1.0750,11.0000,11.0000,0.0000
1710953409:923498,B000,1.0750,11.0000,11.0000,0.0000
1710953410:53509,B000,1.0750,11.0000,11.0000,0.0000
1710953410:83509,B000,1.0750,11.0000,11.0000,0.0000
1710953410:130263,B003,25.2571,23.5745,25.4636
1710953410:243557,B000,1.0750,11.0000,11.0000,0.0000
1710953410:313540,B000,1.0750,11.0000,11.0000,0.0000
1710953410:342255,B003,25.2571,23.5745,25.4364
1710953410:473574,B000,1.0750,11.0000,11.0000,0.0000
1710953410:503668,B000,1.0750,11.0000,11.0000,0.0000
1710953410:633606,B000,1.0750,11.0000,11.0000,0.0000
1710953410:663606,B000,1.0800,11.0000,11.0000,0.0000
1710953410:893601,B000,1.0750,11.0000,11.0000,0.0000
1710953410:923578,B000,1.0750,11.0000,11.0000,0.0000
1710953411:53687,B000,1.0750,11.0000,11.0000,0.0000
1710953411:83837,B000,1.0750,11.0000,11.0000,0.0000
1710953411:130327,B003,25.2571,23.5887,25.4545
1710953411:243690,B000,1.0750,11.0000,11.0000,0.0000
1710953411:313582,B000,1.0750,11.0000,11.0000,0.0000
1710953411:473715,B000,1.0750,11.0000,11.0000,0.0000
1710953411:503710,B000,1.0750,11.0000,11.0000,0.0000
1710953411:633728,B000,1.0750,11.0000,11.0000,0.0000
1710953411:663736,B000,1.0750,11.0000,11.0000,0.0000
1710953411:893760,B000,1.0750,11.0000,11.0000,0.0000
1710953411:923744,B000,1.0800,11.0000,11.0000,0.0000
1710953412:53751,B000,1.0750,11.0000,11.0000,0.0000
1710953412:83749,B000,1.0750,11.0000,11.0000,0.0000
1710953412:130490,B003,25.2571,23.5745,25.4636
1710953412:247169,B000,1.0750,11.0000,11.0000,0.0000
1710953412:314604,B000,1.0750,11.0000,11.0000,0.0000
1710953412:473790,B000,1.0750,11.0000,11.0000,0.0000
1710953412:503780,B000,1.0750,11.0000,11.0000,0.0000
1710953412:633807,B000,1.0800,11.0000,11.0000,0.0000
1710953412:663792,B000,1.0750,11.0000,11.0000,0.0000
1710953412:893815,B000,1.0750,11.0000,11.0000,0.0000
1710953412:923813,B000,1.0800,11.0000,11.0000,0.0000
1710953413:53819,B000,1.0750,11.0000,11.0000,0.0000
1710953413:83827,B000,1.0750,11.0000,11.0000,0.0000
1710953413:130615,B003,25.2857,23.5887,25.4818
1710953413:243780,B000,1.0800,11.0000,11.0000,0.0000
1710953413:313764,B000,1.0750,11.0000,11.0000,0.0000
1710953413:473783,B000,1.0750,11.0000,11.0000,0.0000
1710953413:503797,B000,1.0800,11.0000,11.0000,0.0000
1710953413:633781,B000,1.0800,11.0000,11.0000,0.0000
1710953413:663763,B000,1.0750,11.0000,11.0000,0.0000
1710953413:893781,B000,1.0800,11.0000,11.0000,0.0000
1710953413:923781,B000,1.0750,11.0000,11.0000,0.0000
1710953414:53915,B000,1.0750,11.0000,11.0000,0.0000
1710953414:83893,B000,1.0750,11.0000,11.0000,0.0000
1710953414:130529,B003,25.2571,23.5745,25.4636
1710953414:243955,B000,1.0800,11.0000,11.0000,0.0000
1710953414:313794,B000,1.0750,11.0000,11.0000,0.0000
1710953414:473922,B000,1.0750,11.0000,11.0000,0.0000
1710953414:503923,B000,1.0750,11.0000,11.0000,0.0000
1710953414:633930,B000,1.0750,11.0000,11.0000,0.0000
1710953414:663934,B000,1.0800,11.0000,11.0000,0.0000
1710953414:893945,B000,1.0750,11.0000,11.0000,0.0000
1710953414:923944,B000,1.0750,11.0000,11.0000,0.0000
1710953415:53964,B000,1.0750,11.0000,11.0000,0.0000
1710953415:83961,B000,1.0750,11.0000,11.0000,0.0000
1710953415:130596,B003,25.2571,23.5957,25.4636
1710953415:244139,B000,1.0750,11.0000,11.0000,0.0000
1710953415:313981,B000,1.0750,11.0000,11.0000,0.0000
1710953415:473992,B000,1.0750,11.0000,11.0000,0.0000
1710953415:503993,B000,1.0750,11.0000,11.0000,0.0000
1710953415:634002,B000,1.0750,11.0000,11.0000,0.0000
